ID,User,Astrologer,"Call Rate","Call Time","Total Min",Deduction
1,,"Rajat Sharma",,"20-05-2023 04:45",,
2,,"Dr soni shastri",1,"29-04-2023 11:29",0,0
3,,"Dr soni shastri",1,"29-04-2023 11:28",0,0
4,,"Dr soni shastri",1,"28-04-2023 03:50",5,5
5,tanu,"Dr soni shastri",,"28-04-2023 12:01",,
6,tanu,"Dr soni shastri",,"28-04-2023 11:59",,
7,tanu,"Dr soni shastri",,"28-04-2023 11:58",,
8,,"Dr soni shastri",1,"28-04-2023 10:39",0,0
9,,"Dr soni shastri",0,"27-04-2023 11:09",1,0
10,tanu,"Aacharya Jigyasu",,"27-04-2023 10:24",,
11,Jaimin,"Dr soni shastri",,"26-04-2023 04:12",,
12,tanu,"Dr soni shastri",,"28-04-2023 11:57",,
13,,"Dr soni shastri",1,"26-04-2023 03:52",1,1
14,tanu,"Dr soni shastri",,"25-04-2023 10:08",,
15,tanu,"Dr soni shastri",,"25-04-2023 10:06",,
16,tanu,"Pradip Raj",20,"24-04-2023 04:16",3,60
17,tanu,"Pradip Raj",20,"24-04-2023 04:14",1,20
18,tanu,"Rajendra Saxena",,"24-04-2023 10:45",,
19,tanu,"Dr soni shastri",,"21-04-2023 05:16",,
20,tanu,"Dr soni shastri",,"21-04-2023 04:55",,
21,tanu,"Dr soni shastri",,"21-04-2023 03:16",,
22,tanu,"Dr soni shastri",,"21-04-2023 03:13",,
23,tanu,"Dr soni shastri",,"21-04-2023 03:11",,
24,tanu,"Dr soni shastri",,"21-04-2023 03:10",,
25,tanu,"Dr soni shastri",,"21-04-2023 02:14",,
26,tanu,"Dr soni shastri",,"21-04-2023 11:45",,
27,Deekay,"Pradip Raj",20,"21-04-2023 10:23",0,0
28,tanu,"Dr soni shastri",1,"20-04-2023 05:53",1,1
29,tanu,"Dr soni shastri",,"20-04-2023 05:51",,
30,tanu,"Dr soni shastri",1,"20-04-2023 05:46",0,0
31,tanu,"Dr soni shastri",,"20-04-2023 05:40",,
32,tanu,"Dr soni shastri",1,"20-04-2023 05:37",0,0
33,tanu,"Dr soni shastri",,"20-04-2023 02:39",,
34,tanu,"Dr soni shastri",,"20-04-2023 12:15",,
35,tanu,Jasmin,,"18-04-2023 05:59",,
36,tanu,"Dr soni shastri",,"18-04-2023 05:58",,
37,tanu,"Dr soni shastri",1,"18-04-2023 03:33",0,0
38,tanu,"Dr soni shastri",1,"18-04-2023 12:21",1,1
39,tanu,"Dr soni shastri",1,"18-04-2023 12:16",0,0
40,tanu,"Dr soni shastri",1,"18-04-2023 12:16",0,0
41,tanu,"Dr soni shastri",1,"18-04-2023 12:15",0,0
42,tanu,"Dr soni shastri",1,"18-04-2023 12:14",0,0
43,Deekay,"Pradip Raj",,"21-04-2023 10:23",,
44,tanu,Jasmin,10,"17-04-2023 04:00",0,0
45,tanu,Jasmin,,"18-04-2023 05:59",,
46,tanu,"Dr soni shastri",,"18-04-2023 12:20",,
47,tanu,"Dr soni shastri",,"17-04-2023 02:43",,
48,Neeraj,"Pradip Raj",,"21-04-2023 10:23",,
49,Neeraj,"Pradip Raj",20,"17-04-2023 11:56",1,20
50,tanu,"Dr soni shastri",,"17-04-2023 02:42",,
51,tanu,"Dr soni shastri",,"14-04-2023 11:13",,
52,tanu,"Dr soni shastri",1,"13-04-2023 03:09",0,0
53,tanu,"Dr soni shastri",1,"13-04-2023 03:08",0,0
54,tanu,"Dr soni shastri",1,"13-04-2023 03:07",0,0
55,tanu,Jasmin,10,"07-04-2023 11:29",1,10
56,tanu,Jasmin,10,"07-04-2023 11:28",0,0
57,tanu,Jasmin,10,"07-04-2023 11:26",0,0
58,tanu,Jasmin,10,"07-04-2023 11:24",0,0
59,tanu,Jasmin,10,"07-04-2023 11:22",0,0
60,tanu,Jasmin,10,"07-04-2023 11:20",1,10
61,tanu,"Dr soni shastri",1,"07-04-2023 10:51",1,1
62,Yashvi,"Dr soni shastri",1,"04-04-2023 09:51",1,1
63,tanu,"Dr soni shastri",1,"03-04-2023 06:41",1,1
64,tanu,"Dr soni shastri",1,"03-04-2023 06:39",1,1
65,tanu,"Dr soni shastri",1,"03-04-2023 06:25",3,3
66,tanu,"Dr soni shastri",1,"03-04-2023 06:19",1,1
67,tanu,"Dr soni shastri",1,"03-04-2023 05:32",1,1
68,tanu,"Dr soni shastri",1,"03-04-2023 04:56",0,0
69,tanu,"Dr soni shastri",1,"03-04-2023 04:49",1,1
70,tanu,"Dr soni shastri",1,"03-04-2023 04:49",1,1
71,tanu,"Dr soni shastri",1,"03-04-2023 03:58",1,1
72,tanu,"Dr soni shastri",1,"03-04-2023 03:36",4,4
73,tanu,"Dr soni shastri",1,"03-04-2023 03:36",4,4
74,tanu,"Dr soni shastri",1,"03-04-2023 02:44",0,0
75,tanu,"Dr soni shastri",1,"03-04-2023 02:43",0,0
76,tanu,"Dr soni shastri",1,"01-04-2023 04:40",1,1
77,tanu,"Dr soni shastri",,"01-04-2023 04:38",,
78,tanu,"Dr soni shastri",,"01-04-2023 04:37",,
79,tanu,"Dr soni shastri",,"01-04-2023 04:31",,
80,tanu,"Dr soni shastri",,"01-04-2023 04:28",,
81,tanu,"Dr soni shastri",,"01-04-2023 04:23",,
82,tanu,"Dr soni shastri",,"01-04-2023 04:22",,
83,tanu,"Dr soni shastri",,"01-04-2023 04:20",,
84,tanu,"Dr soni shastri",,"01-04-2023 04:18",,
85,tanu,"Dr soni shastri",,"01-04-2023 04:11",,
86,tanu,"Dr soni shastri",,"01-04-2023 04:11",,
87,tanu,"Dr soni shastri",1,"01-04-2023 07:14",1,1
88,tanu,"Dr soni shastri",1,"01-04-2023 07:12",0,0
89,tanu,"Dr soni shastri",1,"01-04-2023 07:09",1,1
90,tanu,"Dr soni shastri",,"01-04-2023 07:02",,
91,tanu,"Dr soni shastri",,"01-04-2023 07:00",,
92,tanu,"Dr soni shastri",1,"01-04-2023 06:54",35,35
93,tanu,"Dr soni shastri",1,"01-04-2023 06:53",35,35
94,tanu,"Dr soni shastri",1,"01-04-2023 06:51",35,35
95,tanu,"Dr soni shastri",1,"01-04-2023 06:50",35,35
96,tanu,"Dr soni shastri",1,"01-04-2023 06:50",35,35
97,tanu,"Dr soni shastri",1,"01-04-2023 06:50",35,35
98,tanu,"Dr soni shastri",1,"01-04-2023 06:48",34,34
99,tanu,"Dr soni shastri",1,"01-04-2023 06:48",34,34
100,tanu,"Dr soni shastri",1,"01-04-2023 06:45",34,34
101,tanu,"Dr soni shastri",1,"01-04-2023 06:40",34,34
102,tanu,"Dr soni shastri",1,"01-04-2023 06:40",34,34
103,tanu,"Dr soni shastri",1,"01-04-2023 06:37",33,33
104,tanu,"Dr soni shastri",1,"01-04-2023 06:37",33,33
105,tanu,"Dr soni shastri",1,"01-04-2023 06:34",33,33
106,tanu,"Dr soni shastri",1,"01-04-2023 06:34",33,33
107,tanu,"Dr soni shastri",1,"01-04-2023 06:32",33,33
108,tanu,"Dr soni shastri",1,"01-04-2023 06:30",33,33
109,tanu,"Dr soni shastri",1,"01-04-2023 06:30",33,33
110,tanu,"Dr soni shastri",1,"01-04-2023 06:26",33,33
111,tanu,"Dr soni shastri",1,"01-04-2023 06:22",33,33
112,tanu,"Dr soni shastri",1,"01-04-2023 06:17",32,32
113,Yashvi,"Dr soni shastri",,"03-04-2023 05:32",,
114,Yashvi,"Dr soni shastri",,"31-03-2023 12:00",,
115,tanu,"Dr soni shastri",1,"31-03-2023 08:54",1,1
116,tanu,"Dr soni shastri",1,"31-03-2023 08:39",2,2
117,tanu,"Dr soni shastri",,"30-03-2023 04:26",0,0
118,tanu,"Dr soni shastri",,"30-03-2023 04:01",,
119,tanu,Jasmin,10,"17-03-2023 09:01",1,10
120,tanu,Jasmin,10,"17-03-2023 09:00",0,0
121,tanu,Jasmin,10,"17-03-2023 09:00",0,0
122,tanu,Jasmin,10,"17-03-2023 08:59",0,0
123,tanu,Jasmin,10,"17-03-2023 08:43",0,0
124,tanu,Jasmin,10,"17-03-2023 07:20",2,20
125,tanu,Jasmin,10,"17-03-2023 07:19",1,10
126,tanu,Jasmin,10,"17-03-2023 07:15",1,10
127,tanu,Jasmin,10,"17-03-2023 07:08",1,10
128,tanu,Jasmin,10,"17-03-2023 07:08",1,10
129,tanu,Jasmin,10,"17-03-2023 07:07",0,0
130,tanu,Jasmin,10,"17-03-2023 07:06",0,0
131,tanu,Jasmin,10,"17-03-2023 07:05",0,0
132,tanu,Jasmin,10,"17-03-2023 07:04",0,0
133,tanu,Jasmin,10,"17-03-2023 07:20",0,0
134,tanu,Jasmin,,"17-03-2023 06:29",,
135,tanu,Jasmin,,"17-03-2023 05:53",,
136,tanu,"Aacharya Jigyasu",20,"21-02-2023 05:17",3,60
